stud_no,stud_name,stud_age,stud_degree_program
2015-70999,Sutherland Beedle,18,BSABE
2015-35164,Hewe Hun,16,BSABE
2005-18423,Ingrim Phillot,22,BSIE
2005-69932,Sheela Marriott,20,BSABE
2016-79481,Kendal Thurston,17,BSCHE
2005-54635,Clyde Alti,19,BSEE
2016-16151,Toma Sturney,23,BSABE
2005-56694,Evangeline Widdocks,29,BSABE
2016-89484,Gal Heineken,21,BSABE
2006-18266,Clem Antonetti,24,BSIE
2006-90791,Danielle Brimley,20,BSABE
2016-86988,Bucky Scullion,20,BSEE
2015-77775,Abby Inmett,21,BSABE
2005-54308,Tammi Amps,20,BSEE
2016-04226,Catharina Lampbrecht,30,BSFT
2015-23794,Jolyn Splevings,24,BSEE
2005-74065,Tiphani Duce,26,BSCHE
2016-15467,Angie Ethridge,23,BSEE
2005-15448,Winfield Becks,18,BSABE
2005-53215,Shane Posse,26,BSABE
2015-43689,Atlanta Gillbanks,18,BSA
2005-39822,Pancho Vazquez,26,BSCE
2006-13795,Fernando Kearle,20,BSEE
2016-18261,Lisle Delacroix,17,BSABE
2005-79497,Dulci Matyashev,30,BSEE
2015-28752,Kim Badrick,27,BSCHE
2005-63638,Brigida Glancy,27,BSABE
2006-46605,Clarence Skokoe,23,BSEE
2016-84775,Adora Saull,22,BSABE
2015-63760,Jake Decort,26,BSABE
2006-96398,Loy Spuffard,19,BSABE
2016-19470,Caz Rastall,23,BSCHE
2015-21093,Aland Riep,16,BSABE
2005-66430,Cloe Gamet,26,BSEE
2006-75266,Emelina Mayfield,27,BSEE
2015-02586,Ailee Jirzik,17,BSFT
2005-14685,Ardra Gallafant,28,BSABE
2006-62485,Baily Barwise,29,BSABE
2016-55403,Libby Balbeck,16,BSCHE
2015-31761,Robinet Klaaasen,19,BSEE
2016-27798,Murdoch Bicknell,20,BSABE
2005-38080,Rayner Malim,27,BSABE
2016-42850,Perry Sherbrook,29,BSIE
2015-79348,Welbie Fawke,26,BSABE
2016-19824,Norina Heighton,19,BSABE
2016-38011,Evie Comar,27,BSABE
2006-95671,Mallory Brewett,17,BSEE
2015-58448,Amerigo Sawfoot,28,BSIE
2005-74126,Palm Ravilious,28,BSABE
2015-50599,Jenica Unger,28,BSCHE
2005-04422,Wilmer Gurnee,26,BSABE
2015-31870,Phillida Rubinsztein,24,BSABE
2015-53799,Archambault Greystoke,19,BSEE
2015-54776,Huntington Kerford,21,BSEE
2015-21708,Marilyn Dayne,17,BSCHE
2015-21853,Consolata Bramich,17,BSCHE
2006-70813,Hazlett Schanke,29,BSABE
2016-63653,Kit Kevern,29,BSABT
2016-01018,Carmela Link,17,BSEE
2005-40491,Dylan Eversley,16,BSABE
2006-02353,Giulietta McNutt,26,BSABE
2016-27268,Rhoda Kurten,25,BSABE
2005-58895,Reilly Dougher,21,BSEE
2006-28812,Eba Pollastro,30,BSABE
2005-49982,Morgun Redhole,29,BSEE
2006-68501,Nellie Masden,18,BSEE
2005-27185,Dianne O'Luby,27,BSEE
2005-49073,Jefferey Billett,29,BSEE
2016-88683,Gallagher Stonelake,16,BSABE
2016-68277,Tabor Kimmel,24,BSABE
2016-31469,Giffy Friday,16,BSABE
2005-76957,Wilden Plume,27,BSABE
2016-39132,Donnie Rumford,29,BSABE
2005-73928,Dawna Carneck,27,BSIE
2016-24673,Quintilla Hugli,30,BSABE
2006-36828,Flossie Yearnes,20,BSEE
2015-62398,Harriette Cawker,20,BSABE
2015-50118,Ely Massel,26,BSCHE
2016-89260,Ellie Walshaw,29,BSABE
2016-32215,Giacomo Labone,27,BSABE
2015-25840,Morry Branney,30,BSABE
2005-03339,Richie Byfield,20,BSIE
2015-54023,Ase Stoddard,29,BSABE
2016-89621,Jen Cooke,26,BSABE
2006-94879,Ruby Defond,28,BSABE
2015-64376,Melodee Slowan,27,BSABE
2015-30073,Jareb Kolin,20,BSABE
2015-18213,Aurelea Peppard,23,BSEE
2005-26442,Dodi Fanstone,26,BSEE
2006-36337,Aurelea Whicher,28,BSABE
2016-97892,Horton Buckberry,17,BSABE
2005-01230,Julie Mallinar,17,BSCHE
2005-94812,Northrup Ammer,21,BSEE
2005-63078,Cass Conford,27,BSCHE
2005-45751,Berry Tarrier,23,BSIE
2015-84178,Legra Schirok,26,BSABE
2016-19067,Andrey Meanwell,20,BSCHE
2005-87142,Aretha Huniwall,30,BSABE
2016-85762,Rutter Midson,26,BSEE
2006-25879,Constancia Rutigliano,23,BSCHE
2015-17234,Maggy Meier,20,BSABE
2005-19668,Milt Burns,27,BSABE
2016-33122,Prudy Connikie,21,BSEE
2006-10344,Vikki Jakubovits,23,BSABE
2015-74533,Linnet Whittet,18,BSCHE
2006-58273,Sally Childes,28,BSCHE
2016-45343,Sonni Gobel,22,BSABE
2016-45618,Morgan Sabin,16,BSCHE
2015-39989,Liane Breukelman,20,BSCE
2006-75923,Leila Leaves,20,BSABE
2015-27779,Wendell Cain,18,BSABE
2015-60844,Tomaso Nurdin,26,BSABE
2016-90023,Gipsy Maffioni,22,BSCHE
2005-39220,Chrissy Weaver,24,BSABE
2005-37719,Dexter Halwell,24,BSEE
2006-99613,Agnella Stern,26,BSABE
2015-93352,Farah Adamik,17,BSCE
2006-72387,Hildy Canton,20,BSABE
2016-90584,Joshuah Maylott,23,BSABE
2016-94779,Durward Durrell,20,BSABE
2006-72227,Mervin Fowden,18,BSABE
2006-28319,Westbrooke Jojic,22,BSCHE
2005-61419,Warner Bedward,20,BSABE
2016-66635,Micaela Jolin,16,BSABE
2016-79993,Kare McCook,26,BSEE
2006-67506,Benn Kember,24,BSCE
2015-61145,Geoffry Hillaby,28,BSABE
2016-23436,Angie Pettet,21,BSABE
2015-47361,Ernaline Graybeal,27,BSCE
2016-48141,Dov Joost,21,BSABE
2016-29762,Asia Tattersill,25,BSEE
2006-23808,Rochella Pree,20,BSEE
2005-36381,Douglass McRonald,18,BSABE
2015-62484,Iver Romanetti,21,BSEE
2016-50053,Sallee Sudy,21,BSABE
2006-12851,Lil Mickleburgh,18,BSABE
2006-34615,Kamilah Holley,17,BSEE
2005-37150,Ruthe Vautre,23,BSEE
2016-26793,Jodie Crandon,25,BSCHE
2015-89760,Elihu Colecrough,25,BSEE
2005-45877,Nikkie Castelin,29,BSIE
2006-56083,Ethel Bonwell,28,BSABE
2016-93254,Helyn Atkins,23,BSCHE
2015-03187,Karola Borel,22,BSEE
2016-24897,Romain Kleinhaus,19,BSCHE
2016-68140,Josy Yallop,19,BSABE
2015-34915,Amby Feldberger,26,BSEE
2006-38302,Jacquelyn Dubble,23,BSABE
2005-49811,Anderson Cridlon,17,BSCHE
2005-63971,Sephira Pithie,24,BSEE
2015-68783,Bekki Pietrzak,22,BSEE
2005-55641,Lianna Tarn,21,BSABE
2005-55051,Mikel Foister,18,BSABE
2005-36577,Jo-anne Stanger,18,BSEE
2016-80987,Chevy Antonucci,27,BSCE
2015-57144,Crawford Hampstead,28,BSABE
2016-10637,Gerek Doig,30,BSABE
2015-93350,Foster Tumulty,18,BSABE
2016-27438,Shirlee Cudd,19,BSABE
2005-95824,Susanetta Lawday,24,BSEE
2006-37980,Brear Tollfree,28,BSABE
2006-09664,Kaylyn Ellingworth,27,BSEE
2016-61162,Kelsi Ruller,16,BSEE
2015-35277,Consalve Denial,25,BSABT
2006-61859,Nessie Chable,30,BSEE
2005-64311,Blondy Snoxell,18,BSCHE
2016-95252,Dennet Rotherham,18,BSEE
2005-53535,Misti Ojeda,30,BSEE
2005-43175,Morten Pallin,26,BSABE
2005-47488,Jessamine Softley,30,BSEE
2006-94630,Errick Manders,22,BSABE
2016-71060,Estel Standrin,30,BSABE
2006-82794,Leland Halewood,28,BSCE
2005-71456,Moselle Portt,28,BSCE
2005-11565,Hyacinthe Peter,23,BSIE
2016-17279,Alden Grene,20,BSEE
2015-58139,Frederik Siret,30,BSABE
2006-13829,Albertina Akred,16,BSABE
2016-46035,Rudolfo Curnnokk,20,BSABE
2016-76684,Ellie Carnock,30,BSEE
2005-36360,Yasmeen Yeld,30,BSCE
2006-78062,Kathryn Babbage,17,BSEE
2016-99361,Guillema Moult,25,BSABE
2015-78964,Crawford Ivashkin,21,BSCHE
2015-67100,Pate Eatock,27,BSIE
2006-53917,Brandais Scholes,23,BSEE
2005-26961,Maura Boak,23,BSABE
2005-50453,Alfons Boch,24,BSABE
2015-09396,Judon Chyuerton,23,BSEE
2005-55019,Myrtle Britnell,24,BSABE
2005-54498,Alyse Ketchen,25,BSABE
2015-01404,Jo Anstis,25,BSABE
2006-56401,Cchaddie Lamperti,23,BSABE
2016-69181,Ariella Brunton,17,BSABE
2015-22149,Evvie Malham,20,BSABE
2015-58916,Gayla Glitherow,19,BSEE
2006-07613,Ban Schonfeld,29,BSCHE
2015-53888,Rodolphe Benoist,17,BSCHE
2005-78065,Bartram Wasling,26,BSABE
2015-85663,Cchaddie Grevel,27,BSABE
2006-63239,Gerhard Sheridan,19,BSABE
2015-97294,Otha Baxill,29,BSEE
2015-86733,Adamo Syred,28,BSCHE
2006-47060,John Kiehne,28,BSIE
2006-96593,Meryl Dorracott,25,BSABE
2005-28664,Romola Hainey,24,BSCHE
2006-95324,Thorvald Juster,30,BSABE
2005-12199,Bride Gostridge,25,BSABE
2006-87811,Jonathon Walton,27,BSEE
2006-75769,Melvyn Landreth,16,BSABE
2005-89483,Carolyne MacIlwrick,18,BSABE
2005-28159,Wayland Troppmann,17,BSCHE
2006-89520,Candy Dovidian,21,BSABE
2006-52015,Hobey Lisciandro,16,BSCHE
2006-24106,Peadar Ottewill,21,BSEE
2015-26929,Brigida Kaspar,18,BSABE
2015-28364,Clemmy Frango,30,BSABE
2016-31915,Rhodia Radley,26,BSEE
2005-54601,Coralyn Rudinger,28,BSABE
2006-85173,Othella Haine,26,BSEE
2006-47758,Aleda Cockcroft,26,BSEE
2006-29185,Missy Lednor,24,BSCHE
2015-89059,El Olekhov,17,BSABE
2016-33350,Winnah Robillart,25,BSABE
2005-06595,Hurlee Liepmann,16,BSABE
2015-75363,Peadar Pietroni,19, BSHE
2015-31210,Audrie Towe,17,BSABE
2015-16477,Jo-ann Roubay,16,BSABE
2015-19117,Schuyler Ellin,27,BSEE
2005-57283,Arleyne Macak,30,BSABE
2015-39043,Inga Hazeldean,28,BSABE
2016-06030,Jeremy Goodoune,19,BSA
2016-66433,Ashlin Struan,29,BSEE
2015-20693,Rollin Lackner,24,BSABE
2006-99637,Ardyce Abrahamsen,22,BSCHE
2015-09432,Fulvia Matyja,27,BSABE
2016-41488,Dugald Vipan,28,BSEE
2006-95927,Rosamund Sach,30,BSABE
2006-62456,Bealle Sussans,20,BSEE
2006-38028,Blisse Duke,20,BSEE
2006-63618,Sashenka Langforth,26,BSABT
2015-69675,Carmelia Lanney,17,BSABE
2016-43113,Niccolo Timny,23,BSEE
2015-36915,Fancie Nys,25,BSEE
2005-86277,Constantina Chesnut,26,BSEE
2015-22748,Evanne Cheke,21,BSABE
2015-67856,Jackie Kempson,28,BSABE
2016-49336,Harlan Fulloway,29,BSCHE
2016-90193,Randy Dome,22,BSEE
2015-82685,Kelly Sunter,24,BSABE
2015-81919,Meade Grenter,20,BSABE
2016-93222,Hollie Garwill,19,BSEE
2006-07456,Nonnah Vanyashin,21,BSABE
2015-26693,Serena Biggam,17,BSABE
2015-32798,Arvie Blais,22,BSEE
2005-85824,Byron Soles,28,BSABE
2015-18576,Melosa Bareford,24,BSABE
2016-42469,Oralee Lembke,30,BSEE
2006-28270,Kitty Livoir,28,BSABE
2005-72549,Catha McKilroe,30,BSEE
2006-36328,Madelin Evitt,27,BSABE
2015-82717,Solly Airth,18,BSABE
2016-46963,Laurianne Cholmondeley,19,BSABE
2006-49048,Lin Chaston,20,BSABE
2016-36868,Tiffany Grishanin,24,BSCHE
2016-62618,Karna McGilvray,18,BSABE
2015-72702,Neville Duthie,21,BSEE
2006-01506,Tessie Umney,19,BSCE
2015-51944,Gavan Buesden,29,BSIE
2005-61629,Paddie Clipsham,30,BSA
2015-02336,Clarissa Aronowitz,24,BSABE
2015-44393,Jourdan Menguy,27,BSCHE
2015-54469,Shepperd Robberecht,26,BSCE
2006-20095,Coreen Hatry,28,BSABE
2006-27403,Edithe Martinson,20,BSCE
2006-19999,Peggy Palke,22,BSABE
2005-03625,Carmelita Rissom,29,BSABE
2005-75594,Kelcey Barosch,29,BSABE
2016-64423,Lenee Allardyce,29,BSABE
2015-50698,Davita Sumbler,19,BSCE
2016-78634,Haily Mortell,24,BSABE
2015-34390,Letisha Vivash,26,BSABE
2005-99160,Osbourn Roath,21,BSEE
2016-07867,Arlan Frango,29,BSEE
2016-59460,Berny D'Elias,20,BSIE
2015-70463,Merrilee Koeppke,17,BSABE
2005-84974,Andreas Tidmarsh,17,BSABE
2006-02394,Jasen Gummery,16,BSCHE
2015-90404,Diena Banane,19,BSIE
2015-14470,Theodoric Curteis,27,BSCHE
2016-93791,Matthew Bengoechea,25,BSABE
2015-29638,Charlot Gandy,18,BSEE
2015-31894,Alexis Deekes,23,BSEE
2005-20994,Ives La Batie,23,BSIE
2006-20918,Abby Peyton,29,BSFT
2016-80355,Florencia Wooldridge,27,BSABE
2005-31852,Cart Danshin,22,BSCHE
2006-17005,Zared Grierson,27,BSCHE
2006-13404,Regan Deeney,29,BSABE
2005-58271,Morrie Prebble,19,BSABE
2016-81554,Gates Broz,20,BSABE
2016-58520,Normy Southcomb,30,BSABE
2016-59257,Lorry Calvard,28,BSCHE
2015-17273,Amos Turnock,27,BSABE
2005-96681,Samaria Leander,19,BSCHE
2006-03553,Garrick Bromby,21,BSABE
2015-06290,Tye Bragge,25,BSEE
2005-28486,Woody Geeraert,26,BSEE
2015-36043,Chris Kira,28,BSABE
2005-92334,Tandi Garforth,19,BSABE
2005-92200,Fredia Gheorghe,29,BSIE
2005-56115,Brnaba Pickervance,30,BSCHE
2006-96979,Tammy Saines,26,BSABE
2015-08787,Orel Pendrick,20,BSABE
2005-67465,Shelbi Harkin,28,BSABE
2006-91134,Saw Garretts,28,BSCHE
2006-56680,Stanford Normanville,23,BSABE
2015-36909,Lilian Harroway,25,BSCHE
2005-38717,Jori Witcher,27,BSEE
2015-91730,Clarence Wilber,19,BSCHE
2005-78896,Becka Maykin,18,BSCHE
2006-85924,Seumas Bartlett,25,BSABE
2015-26966,Madel Whitters,17,BSCHE
2016-52949,Errol Raxworthy,24,BSCE
2006-81156,Aurthur Danforth,22,BSEE
2006-25306,Dorolice Awcock,25,BSABE
2005-66484,Kayla Arkcoll,25,BSABE
2015-65169,Casey Koopman,21,BSABE
2006-18727,Fanny Richardt,27,BSEE
2006-44745,Philip Edgeson,25,BSABE
2005-12925,Ax Succamore,21,BSABE
2015-11263,Jackqueline Anthony,19,BSABT
2015-38326,Euphemia Jakov,21,BSABE
2006-78343,Arnie Atkinson,16,BSABE
2016-17921,Stevie Ouslem,20,BSEE
2006-79790,Angelita Tylor,22,BSABE
2005-80927,Taylor Baiyle,18,BSABE
2005-90026,Jose Aulton,25,BSABE
2016-75990,Sigismund Corkhill,17,BSCHE
2015-42526,Siana Lorenzini,21,BSABE
2005-76888,Regan Fincke,22,BSEE
2016-35271,Rivkah Ropert,19,BSABE
2015-37074,Carmen Janssens,29,BSABE
2016-18987,Godart Levin,16,BSABE
2006-15556,Brady Bloy,27,BSEE
2016-69887,Scott Griffithe,21,BSABT
2005-90483,Hermie Elacoate,21,BSCHE
2005-15811,Ellis Yetman,21,BSABE
2006-92736,Yetta Spellacy,28,BSABE
2005-99322,Otes Peeke,24,BSEE
2006-56629,Eleanora Lorans,26,BSEE
2016-61067,Giorgi Cohalan,24,BSABE
2016-64410,Gabriele Cubuzzi,18,BSABE
2016-02374,Jan Aronowitz,17,BSABE
2006-89437,Joanne Ikringill,30,BSABE
2005-75501,Dennet Giorgio,16,BSABE
2015-11164,Haley Peiser,26,BSCHE
2015-67116,Desdemona Scarisbrick,25,BSCHE
2016-89935,Domeniga Mallall,19,BSABE
2006-33693,Ofella Oglethorpe,18,BSEE
2006-55249,Madelyn Hallbird,27,BSCHE
2015-36242,Grady Hirjak,26,BSCHE
2016-30367,Ashlan O'Moylan,25,BSEE
2005-62837,Cecily Elijah,23,BSABE
2005-90621,Cari Barfoot,27,BSEE
2015-31875,Lorettalorna Murrell,23,BSCHE
2015-73355,Wash Booth,20,BSABE
2005-89244,Godwin Narbett,28,BSABE
2016-54952,Ingar Clemes,17,BSABE
2005-13361,Bernetta Kinsella,24,BSABE
2016-90964,Norene Pareman,16,BSCHE
2006-86655,Logan Boshier,24,BSABT
2005-66236,Odetta Whitham,22,BSIE
2016-18891,Madelene Burrows,24,BSEE
2015-41922,Shelly Caswall,19,BSABE
2006-02213,Ulric Spillman,30,BSABE
2016-69430,Mireielle Killelay,16,BSABE
2015-34868,Eloise Ovenell,19,BSCHE
2005-48029,Sibylla Deery,24,BSEE
2005-97323,Marcile Brumbie,23,BSEE
2015-11195,Zacharias Simonson,19,BSEE
2006-39869,Hussein Sidery,22,BSCE
2015-18236,Titos Rustadge,30,BSEE
2005-94732,Anna-diana Barajas,17,BSCHE
2006-23551,Catlin Devonish,16,BSCE
2016-95496,Jacki Habbijam,23,BSEE
2006-41823,Ker Davisson,29,BSABE
2016-46459,Ellerey Clulow,29,BSABE
2005-90657,Grange Mapplethorpe,22,BSABE
2006-15919,Layney Cuerda,19,BSABE
2006-86729,Theresina Stidston,26,BSEE
2006-44455,Tanner Henriques,23,BSIE
2015-22212,Janina Handling,29,BSABE
2005-59888,Morly Lishman,21,BSABE
2016-34668,Andra Flancinbaum,26,BSABE
2015-74560,Lauri Bennis,21,BSEE
2005-64792,Katalin Renzo,20,BSABE
2005-08756,Morlee Harbard,24,BSABE
2016-94775,Sashenka O'Hare,27,BSABE
2005-99313,Caryn Sibbald,29,BSABE
2016-19823,Vi Yonnie,17,BSABE
2016-50868,Terencio Iggulden,22,BSABE
2015-70056,Joe Aldwinckle,16,BSABE
2005-92066,Tirrell Olsen,22,BSEE
2016-75502,Jerrie Lepper,26,BSABE
2005-94768,Lavena Hakewell,17,BSEE
2015-45405,Rosina St. Paul,21,BSABE
2005-91549,Cynde Gipp,16,BSDC
2006-49418,Flori Goly,24,BSABE
2006-27837,Cindelyn Vankov,28,BSEE
2015-72132,Karol Annakin,19,BSABE
2005-85953,Diarmid Rulton,29,BSABE
2015-89392,Stepha Hanson,30,BSABE
2005-05296,Kati Trulocke,16,BSEE
2006-54616,Susette Haquard,28,BSABE
2016-35290,Corey Tremayne,30,BSABE
2005-53208,Arnie Ryam,29,BSABE
2005-24171,Lane Corbet,20,BSABE
2015-55649,Adina Easterling,18,BSEE
2005-03265,Pamela Pennycuick,18,BSEE
